ml,lambda,mu,Tc,order
38,-4.0,0,322.7489497599451,2
38,-7.0,0,388.6574074074074,1
38,-6.5,0,378.53009259259255,1
38,-6.0,0,368.1134259259259,1
38,-5.5,0,357.4074074074074,1
38,-5.0,0,346.31558641975306,1
38,-4.5,0,334.7817001028806,1
38,-4.25,0,328.8305630572702,2
38,-4.4,0,332.4159807956104,1
38,-4.3,0,330.03150720164604,1
38,-4.25,500,297.74354673925467,2
38,-4.25,1000,216.0108024691358,2
38,-4.25,1500,118.17290380658436,1
38,-4.25,2000,48.62268518518518,1
45,-10.0,1000,361.0702446273434,2
40,-10.0,1000,357.7777777777778,1
40,-10.0,0,444.7916666666667,1
40,-7.0,0,389.5833333333333,1
40,-6.0,0,369.1502700617284,1
40,-4.5,0,335.7066883144719,2
40,-5.0,0,347.30581275720164,2
40,-5.5,0,358.41853137860085,2
40,-5.7,0,362.7553262174211,2
30,-4.25,0,325.2083333333333,1
